,Date,Close,Close_Lag,Returns,Tick,Month_Year,Rf,Strike_Price,marketCapitalization,numberOfShares
0,2022-09-06,497.8325805664063,498.0340270996094,-0.000404565299007,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
1,2022-09-07,508.1365356445313,497.8325805664063,0.0204863455191576,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
2,2022-09-08,507.6376647949219,508.1365356445313,-0.0009822476087759,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
3,2022-09-09,514.7947998046875,507.6376647949219,0.014000439470391,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
4,2022-09-12,517.6153564453125,514.7947998046875,0.0054640370225359,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
5,2022-09-13,489.5816955566406,517.6153564453125,-0.0556810673312387,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
6,2022-09-14,487.3750915527344,489.5816955566406,-0.0045173088213626,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
7,2022-09-15,483.0577697753906,487.3750915527344,-0.0088977824908355,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
8,2022-09-16,483.6718444824219,483.0577697753906,0.0012704168374808,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
9,2022-09-19,486.003173828125,483.6718444824219,0.0048084848916794,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
10,2022-09-20,479.23931884765625,486.003173828125,-0.0140150599368297,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
11,2022-09-21,473.0513000488281,479.23931884765625,-0.0129962550791119,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
12,2022-09-22,467.3907775878906,473.0513000488281,-0.0120381487690068,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
13,2022-09-23,447.4640197753906,467.3907775878906,-0.0435695588588872,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
14,2022-09-26,460.7997131347656,447.4640197753906,0.0293673550982072,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
15,2022-09-27,458.8809509277344,460.7997131347656,-0.0041726765952771,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
16,2022-09-28,468.46533203125,458.8809509277344,0.020671290892869,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
17,2022-09-29,459.5333557128906,468.46533203125,-0.0192505706576201,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
18,2022-09-30,453.0957336425781,459.5333557128906,-0.0141080947842783,COST,2022-09,0.0313,3769500000.0,241567539500,443854000
19,2022-10-03,458.3341064453125,453.0957336425781,0.0114949725211319,COST,2022-10,0.0372,3769500000.0,241567539500,443854000
20,2022-10-04,466.39306640625,458.3341064453125,0.0174303605090057,COST,2022-10,0.0372,3769500000.0,241567539500,443854000
21,2022-10-05,460.8189086914063,466.39306640625,-0.012023625703569,COST,2022-10,0.0372,3769500000.0,241567539500,443854000
22,2022-10-06,462.90081787109375,460.8189086914063,0.0045076718511683,COST,2022-10,0.0372,3769500000.0,241567539500,443854000
23,2022-10-07,449.14306640625,462.90081787109375,-0.0301713444666184,COST,2022-10,0.0372,3769500000.0,241567539500,443854000
24,2022-10-10,447.377685546875,449.14306640625,-0.0039382984438716,COST,2022-10,0.0372,3769500000.0,241567539500,443854000
25,2022-10-11,452.85589599609375,447.377685546875,0.012170792524267,COST,2022-10,0.0372,3769500000.0,241567539500,443854000
