,Date,Close,Close_Lag,Returns,Tick,Month_Year,Rf,Strike_Price,marketCapitalization,numberOfShares
0,2021-12-31,334.51483154296875,342.4810791015625,-0.0235351946510316,META,2021-12,0.0006,4961500000.0,323353580000,2687000000
1,2022-01-03,336.6929016113281,334.51483154296875,0.0064900256831753,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
2,2022-01-04,334.6938171386719,336.6929016113281,-0.0059551085080203,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
3,2022-01-05,322.4013061523437,334.6938171386719,-0.0374190732360541,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
4,2022-01-06,330.6460876464844,322.4013061523437,0.0252515197747384,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
5,2022-01-07,329.9797058105469,330.6460876464844,-0.0020174267143443,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
6,2022-01-10,326.27996826171875,329.9797058105469,-0.0112753438664456,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
7,2022-01-11,332.5456237792969,326.27996826171875,0.0190212538974713,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
8,2022-01-12,331.4416809082031,332.5456237792969,-0.0033251957695117,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
9,2022-01-13,324.6986999511719,331.4416809082031,-0.0205541940325045,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
10,2022-01-14,330.089111328125,324.6986999511719,0.0164649770807839,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
11,2022-01-18,316.4141540527344,330.089111328125,-0.0423106827625933,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
12,2022-01-19,317.84625244140625,316.4141540527344,0.0045158134031022,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
13,2022-01-20,314.8327941894531,317.84625244140625,-0.0095260971779357,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
14,2022-01-21,301.51593017578125,314.8327941894531,-0.0432188346226793,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
15,2022-01-24,307.025634765625,301.51593017578125,0.0181083937910574,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
16,2022-01-25,298.5123291015625,307.025634765625,-0.0281200094639097,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
17,2022-01-26,293.0224304199219,298.5123291015625,-0.018562075081374,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
18,2022-01-27,293.0324401855469,293.0224304199219,3.415982403017529e-05,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
19,2022-01-28,300.06378173828125,293.0324401855469,0.0237117376078945,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
20,2022-01-31,311.55078125,300.06378173828125,0.0375672887571984,META,2022-01,0.0015,4961500000.0,323353580000,2687000000
21,2022-02-01,317.25946044921875,311.55078125,0.0181575797105255,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
22,2022-02-02,321.2376708984375,317.25946044921875,0.0124613306259035,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
23,2022-02-03,236.46273803710935,321.2376708984375,-0.3063906172963919,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
24,2022-02-04,235.79641723632807,236.46273803710935,-0.0028218457407962,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
25,2022-02-07,223.682861328125,235.79641723632807,-0.0527395428852299,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
26,2022-02-08,218.9786529541016,223.682861328125,-0.0212550010542041,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
27,2022-02-09,230.7341766357422,218.9786529541016,0.0522920474353619,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
28,2022-02-10,226.82562255859372,230.7341766357422,-0.017084757688702,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
29,2022-02-11,218.3521270751953,226.82562255859372,-0.0380725182471008,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
30,2022-02-14,216.51220703125,218.3521270751953,-0.0084620921004072,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
31,2022-02-15,219.794189453125,216.51220703125,0.0150446766417975,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
32,2022-02-16,215.3585357666016,219.794189453125,-0.0203873585812897,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
33,2022-02-17,206.5767059326172,215.3585357666016,-0.0416324467010141,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
34,2022-02-18,205.03517150878903,206.5767059326172,-0.0074902679709128,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
35,2022-02-22,200.97743225097656,205.03517150878903,-0.0199889083606251,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
36,2022-02-23,197.36720275878903,200.97743225097656,-0.0181266573070129,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
37,2022-02-24,206.46731567382807,197.36720275878903,0.0450761551751216,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
38,2022-02-25,209.3315887451172,206.46731567382807,0.0137774214799356,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
39,2022-02-28,209.87860107421875,209.3315887451172,0.0026097296909607,META,2022-02,0.0033,4961500000.0,323353580000,2687000000
40,2022-03-01,202.37973022460935,209.87860107421875,-0.036383488149541,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
41,2022-03-02,206.9745178222656,202.37973022460935,0.0224498980931227,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
42,2022-03-03,201.8625640869141,206.9745178222656,-0.0250085933465716,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
43,2022-03-04,198.9684295654297,201.8625640869141,-0.0144409232940618,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
44,2022-03-07,186.44712829589844,198.9684295654297,-0.0649984622393557,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
45,2022-03-08,189.25173950195312,186.44712829589844,0.0149303793314377,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
46,2022-03-09,197.41696166992188,189.25173950195312,0.0422399648563397,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
47,2022-03-10,194.1449279785156,197.41696166992188,-0.0167131170926036,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
48,2022-03-11,186.5863800048828,194.1449279785156,-0.0397106361731576,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
49,2022-03-14,185.6117401123047,186.5863800048828,-0.0052372221547622,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
50,2022-03-15,190.9822540283203,185.6117401123047,0.028523439616632,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
51,2022-03-16,202.5189666748047,190.9822540283203,0.058653031868496,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
52,2022-03-17,206.70599365234372,202.5189666748047,0.0204639183818512,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
53,2022-03-18,215.30880737304688,206.70599365234372,0.0407758478452668,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
54,2022-03-21,210.3361053466797,215.30880737304688,-0.0233665580487365,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
55,2022-03-22,215.4679412841797,210.3361053466797,0.0241053812041998,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
56,2022-03-23,212.2953338623047,215.4679412841797,-0.014833744648204,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
57,2022-03-24,218.3719940185547,212.2953338623047,0.0282216136459502,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
58,2022-03-25,220.60972595214844,218.3719940185547,0.0101951913467234,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
59,2022-03-28,222.37005615234372,220.60972595214844,0.0079477192297252,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
60,2022-03-29,228.6058349609375,222.37005615234372,0.0276563620895338,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
61,2022-03-30,226.6068115234375,228.6058349609375,-0.0087828679765651,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
62,2022-03-31,221.14678955078125,226.6068115234375,-0.0243897206792672,META,2022-03,0.0044,4961500000.0,323353580000,2687000000
63,2022-04-01,223.6231842041016,221.14678955078125,0.0111357348281377,META,2022-04,0.0076,4961500000.0,323353580000,2687000000
64,2022-04-04,232.6138610839844,223.6231842041016,0.0394174082728493,META,2022-04,0.0076,4961500000.0,323353580000,2687000000
65,2022-04-05,230.57504272460935,232.6138610839844,-0.008803455825923,META,2022-04,0.0076,4961500000.0,323353580000,2687000000
66,2022-04-06,222.08164978027344,230.57504272460935,-0.0375312683612098,META,2022-04,0.0076,4961500000.0,323353580000,2687000000
67,2022-04-07,221.73355102539065,222.08164978027344,-0.001568665632145,META,2022-04,0.0076,4961500000.0,323353580000,2687000000
68,2022-04-08,221.11692810058597,221.73355102539065,-0.0027847923954726,META,2022-04,0.0076,4961500000.0,323353580000,2687000000
69,2022-04-11,215.2789764404297,221.11692810058597,-0.0267568961717369,META,2022-04,0.0076,4961500000.0,323353580000,2687000000
