,Date,Close,Close_Lag,Returns,Tick,Month_Year,Rf,Strike_Price,marketCapitalization,numberOfShares
0,2024-01-02,26.586997985839844,25.74637222290039,0.0321285661253554,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
1,2024-01-03,26.586997985839844,26.586997985839844,0.0,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
2,2024-01-04,26.01465606689453,26.586997985839844,-0.0217622246766211,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
3,2024-01-05,26.354480743408203,26.01465606689453,0.0129782336333925,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
4,2024-01-08,26.45285415649414,26.354480743408203,0.0037257523814719,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
5,2024-01-09,26.291879653930664,26.45285415649414,-0.0061039269982757,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
6,2024-01-10,25.925228118896484,26.291879653930664,-0.0140435798394938,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
7,2024-01-11,25.397602081298828,25.925228118896484,-0.0205617899429936,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
8,2024-01-12,25.6658878326416,25.397602081298828,0.0105080252225224,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
9,2024-01-16,25.32605743408203,25.6658878326416,-0.0133289847252572,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
10,2024-01-17,25.17403221130371,25.32605743408203,-0.0060208084021287,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
11,2024-01-18,25.12037467956543,25.17403221130371,-0.0021337383384419,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
12,2024-01-19,25.2902889251709,25.12037467956543,0.0067412280228925,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
13,2024-01-22,25.317115783691406,25.2902889251709,0.0010601950915148,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
14,2024-01-23,25.424428939819336,25.317115783691406,0.0042298009140056,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
15,2024-01-24,25.33500099182129,25.424428939819336,-0.0035236030288333,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
16,2024-01-25,24.93559455871582,25.33500099182129,-0.0158905950183961,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
17,2024-01-26,24.93559455871582,24.93559455871582,0.0,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
18,2024-01-29,24.944673538208008,24.93559455871582,0.000364030905961,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
19,2024-01-30,24.527114868164062,24.944673538208008,-0.0168810790736034,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
20,2024-01-31,24.581579208374023,24.527114868164062,0.0022181148802533,PFE,2024-01,0.0521999999999999,35297500000.0,150265920000,5664000000
21,2024-02-01,24.77220344543457,24.581579208374023,0.0077248459891034,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
22,2024-02-02,24.44541931152344,24.77220344543457,-0.0132793466125774,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
23,2024-02-05,24.118629455566406,24.44541931152344,-0.0134583008108428,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
24,2024-02-06,24.96282958984375,24.118629455566406,0.0344033537175826,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
25,2024-02-07,25.01729393005371,24.96282958984375,0.0021794408630024,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
26,2024-02-08,25.026369094848636,25.01729393005371,0.0003626898730369,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
27,2024-02-09,25.01729393005371,25.026369094848636,-0.0003626898730369,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
28,2024-02-12,25.108068466186523,25.01729393005371,0.0036219044023409,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
29,2024-02-13,24.481727600097656,25.108068466186523,-0.0252622202655011,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
30,2024-02-14,24.60881233215332,24.481727600097656,0.0051775766219235,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
31,2024-02-15,24.971906661987305,24.60881233215332,0.0146468558103894,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
32,2024-02-16,25.071758270263672,24.971906661987305,0.0039905846592558,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
33,2024-02-20,25.044527053833008,25.071758270263672,-0.0010867213694904,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
34,2024-02-21,25.11714553833008,25.044527053833008,0.0028953793394764,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
35,2024-02-22,25.00821685791016,25.11714553833008,-0.0043462569319788,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
36,2024-02-23,25.19883918762207,25.00821685791016,0.0075934842901123,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
37,2024-02-26,24.67235374450684,25.19883918762207,-0.0211145943015808,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
38,2024-02-27,24.409109115600582,24.67235374450684,-0.0107269481307702,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
39,2024-02-28,24.545270919799805,24.409109115600582,0.0055628180860304,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
40,2024-02-29,24.10955238342285,24.545270919799805,-0.0179110787044796,PFE,2024-02,0.0524,35297500000.0,150265920000,5664000000
41,2024-03-01,24.13678550720215,24.10955238342285,0.0011289199496685,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
42,2024-03-04,23.50136947631836,24.13678550720215,-0.0266783513318444,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
43,2024-03-05,23.67384147644043,23.50136947631836,0.0073120083653859,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
44,2024-03-06,24.681432723999023,23.67384147644043,0.0416805459725671,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
45,2024-03-07,24.318334579467773,24.681432723999023,-0.0148206740876587,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
46,2024-03-08,24.70866203308105,24.318334579467773,0.0159232964646629,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
47,2024-03-11,25.752561569213867,24.70866203308105,0.0413802288230381,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
48,2024-03-12,25.42577743530273,25.752561569213867,-0.0127705815180016,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
49,2024-03-13,25.61639976501465,25.42577743530273,0.0074692431395117,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
50,2024-03-14,25.534704208374023,25.61639976501465,-0.003194285939475,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
51,2024-03-15,25.362234115600582,25.534704208374023,-0.0067772545303737,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
52,2024-03-18,25.162532806396484,25.362234115600582,-0.0079051269834883,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
53,2024-03-19,25.080835342407227,25.162532806396484,-0.0032520724227648,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
54,2024-03-20,25.144376754760746,25.080835342407227,0.0025302609426951,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
55,2024-03-21,25.108068466186523,25.144376754760746,-0.0014450359473101,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
56,2024-03-22,24.83574867248535,25.108068466186523,-0.0109051533519207,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
57,2024-03-25,24.899288177490234,24.83574867248535,0.0025551218456102,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
58,2024-03-26,25.044527053833008,24.899288177490234,0.0058161069628879,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
59,2024-03-27,25.216997146606445,25.044527053833008,0.0068629343204283,PFE,2024-03,0.0524,35297500000.0,150265920000,5664000000
