,Date,Close,Close_Lag,Returns,Tick,Month_Year,Rf,Strike_Price,marketCapitalization,numberOfShares
0,2024-01-02,15.714988708496094,15.28681182861328,0.0276244670308254,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
1,2024-01-03,15.696768760681152,15.714988708496094,-0.0011600719810813,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
2,2024-01-04,15.623887062072754,15.696768760681152,-0.0046539146923176,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
3,2024-01-05,15.915410041809082,15.623887062072754,0.0184868598307767,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
4,2024-01-08,15.778759002685549,15.915410041809082,-0.0086231562467018,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
5,2024-01-09,15.693580627441406,15.778759002685549,-0.0054129171342172,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
6,2024-01-10,15.619512557983398,15.693580627441406,-0.0047308138585992,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
7,2024-01-11,15.026949882507324,15.619512557983398,-0.0386756897744008,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
8,2024-01-12,15.258418083190918,15.026949882507324,0.015286108334453,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
9,2024-01-16,15.221384048461914,15.258418083190918,-0.0024300717434869,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
10,2024-01-17,15.193607330322266,15.221384048461914,-0.0018265154519372,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
11,2024-01-18,15.184349060058594,15.193607330322266,-0.0006095387346894,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
12,2024-01-19,15.434333801269531,15.184349060058594,0.016329265179793,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
13,2024-01-22,15.554697036743164,15.434333801269531,0.007768157795676,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
14,2024-01-23,15.91579246520996,15.554697036743164,0.0229491998435892,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
15,2024-01-24,15.44359302520752,15.91579246520996,-0.0301176266879258,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
16,2024-01-25,15.90653133392334,15.44359302520752,0.0295355741887721,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
17,2024-01-26,16.008377075195312,15.90653133392334,0.0063823518266169,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
18,2024-01-29,15.971342086791992,16.008377075195312,-0.0023161557343356,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
19,2024-01-30,16.230587005615234,15.971342086791992,0.0161015521176474,T,2024-01,0.0521999999999999,64310500000.0,163921230000,7199000000
