,Date,Close,Close_Lag,Returns,Tick,Month_Year,Rf,Strike_Price,marketCapitalization,numberOfShares
0,2023-02-03,161.26876831054688,165.15541076660156,-0.0238145725143276,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
1,2023-02-06,158.6046600341797,161.26876831054688,-0.0166576504484112,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
2,2023-02-07,159.44403076171875,158.6046600341797,0.0052782652504093,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
3,2023-02-08,156.7343292236328,159.44403076171875,-0.0171407548679135,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
4,2023-02-09,156.3511199951172,156.7343292236328,-0.0024479541980395,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
5,2023-02-10,155.11941528320312,156.3511199951172,-0.0079090057832345,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
6,2023-02-13,158.13023376464844,155.11941528320312,0.0192237163617525,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
7,2023-02-14,157.1478729248047,158.13023376464844,-0.0062317300067415,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
8,2023-02-15,161.60060119628906,157.1478729248047,0.0279406385199868,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
9,2023-02-16,160.2418212890625,161.60060119628906,-0.0084438090535413,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
10,2023-02-17,159.0299530029297,160.2418212890625,-0.007591489156118,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
11,2023-02-21,152.60337829589844,159.0299530029297,-0.0412503112960629,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
12,2023-02-22,152.14434814453125,152.60337829589844,-0.0030125277972224,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
13,2023-02-23,151.9423828125,152.14434814453125,-0.0013283405105691,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
14,2023-02-24,153.2827911376953,151.9423828125,0.0087831349217665,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
15,2023-02-27,153.14503479003906,153.2827911376953,-0.0008991112769825,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
16,2023-02-28,154.6966094970703,153.14503479003906,0.0100804285217,TGT,2023-02,0.0465,8577000000.0,67143635000,461500000
17,2023-03-01,149.09632873535156,154.6966094970703,-0.0368732420742291,TGT,2023-03,0.0469,8577000000.0,67143635000,461500000
18,2023-03-02,152.34632873535156,149.09632873535156,0.0215638089394114,TGT,2023-03,0.0469,8577000000.0,67143635000,461500000
19,2023-03-03,152.4014129638672,152.34632873535156,0.000361507053725,TGT,2023-03,0.0469,8577000000.0,67143635000,461500000
20,2023-03-06,151.66693115234375,152.4014129638672,-0.0048310404830905,TGT,2023-03,0.0469,8577000000.0,67143635000,461500000
